lemma,animacy
it,0
year,1
way,1
day,0
thing,1
child,1
company,1
problem,1
lot,1
country,0
world,0
week,1
woman,1
family,0
system,1
money,0
fact,0
area,0
friend,0
month,0
business,1
government,1
yes,0
example,0
hour,0
student,0
idea,1
car,0
person,0
member,1
city,1
night,0
public,1
product,0
office,1
language,1
development,1
town,0
minute,1
food,1
future,0
period,0
history,1
moment,0
sale,1
policy,1
law,0
human,1
computer,1
situation,0
activity,1
morning,1
event,0
decision,0
girl,1
community,0
role,0
action,0
customer,1
door,1
teacher,1
relationship,0
death,1
boy,0
quality,1
opportunity,0
road,0
industry,1
education,0
security,0
standard,0
percent,1
data,0
performance,0
society,1
technology,1
material,1
effort,1
attention,1
animal,1
patient,0
century,1
leader,1
street,1
wife,0
response,0
president,0
employee,0
official,0
art,0
manager,1
worker,1
region,1
growth,1
evening,0
son,1
medium,1
management,1
character,1
economy,1
yesterday,0
addition,1
population,1
environment,1
production,1
player,1
success,1
tomorrow,0
director,1
department,0
tree,0
college,0
item,0
cent,1
method,1
analysis,1
election,1
hotel,1
movie,0
discussion,0
nation,0
statement,1
mile,0
ability,1
unit,1
hospital,0
agreement,0
solution,0
capital,1
television,0
degree,1
movement,0
loss,0
treatment,0
yourself,0
village,0
brother,0
investment,1
energy,1
relation,1
strategy,1
operation,0
goal,1
option,1
competition,0
theory,1
argument,1
adult,0
application,1
speech,1
science,0
male,0
restaurant,1
income,1
property,1
daughter,1
newspaper,0
conclusion,1
memory,1
song,1
afternoon,0
possibility,0
direction,1
facility,0
variety,0
female,0
responsibility,1
sister,0
university,1
agency,1
dollar,1
proposal,0
conversation,1
magazine,1
sea,0
communication,1
agent,1
generation,0
difficulty,0
majority,0
scene,0
writer,0
element,0
committee,1
advice,0
administration,0
text,1
context,1
equipment,0
executive,0
sex,0
primary,1
collection,1
relative,1
alternative,1
attitude,0
truth,1
nobody,1
user,1
dinner,0
percentage,1
peace,1
crime,0
decade,0
consumer,0
institution,0
reader,0
sector,1
chief,1
expert,1
library,0
audience,1
procedure,1
extent,1
river,0
reality,1
artist,0
presence,1
category,1
secretary,0
driver,1
introduction,0
requirement,0
photo,1
concept,1
football,0
flight,0
left,1
background,0
technique,1
improvement,0
consequence,0
circumstance,1
reaction,0
lesson,1
failure,1
speaker,1
mountain,0
marriage,1
meal,0
colleague,0
expression,1
owner,0
lady,0
duty,0
strength,1
payment,1
contribution,1
chapter,1
secret,1
novel,1
union,1
suggestion,0
path,0
topic,0
crisis,0
kitchen,1
safety,0
insurance,1
length,0
investigation,1
weapon,0
district,0
tradition,1
consideration,0
strange,1
threat,1
accident,1
revenue,0
cancer,1
volume,1
location,1
actor,0
opposite,0
camera,0
coffee,0
museum,0
visitor,0
freedom,1
construction,0
objective,0
vehicle,0
scientist,0
route,1
danger,0
army,0
council,1
editor,1
delivery,0
guest,0
bedroom,0
noise,0
affair,1
citizen,1
temperature,0
belief,0
troop,0
arrangement,0
prison,0
representative,0
capacity,1
assessment,0
ad,1
fee,0
hall,1
regulation,0
studio,1
tourist,0
component,1
lawyer,1
description,1
confidence,1
perspective,1
error,0
asset,1
leadership,0
commitment,1
literature,1
victim,0
division,0
device,0
factory,0
recommendation,1
resident,1
combination,1
principal,0
session,1
protection,1
shot,1
appearance,0
judgment,1
definition,0
farmer,0
comparison,0
identity,0
desk,1
association,0
investor,0
tea,1
youth,1
expectation,1
employment,0
breath,1
engine,0
notion,1
opposition,0
relief,0
debt,1
outcome,1
explanation,0
researcher,1
selection,1
participant,0
vision,0
personality,1
entry,1
fellow,1
chemical,1
chairman,1
yard,0
instruction,1
intelligence,0
ideal,1
folk,0
cat,0
presentation,0
faith,1
reduction,0
complaint,1
mission,0
passenger,0
justice,1
religion,1
employer,0
impression,0
sky,1
ancient,1
ill,1
multiple,0
legislation,1
county,0
mobile,0
assistant,0
hell,0
household,1
voter,0
absence,1
medicine,0
intention,1
dozen,1
settlement,0
estate,1
shut,0
victory,0
critic,0
emotion,0
enemy,0
priority,0
resolution,1
injury,0
exhibition,1
producer,0
incident,1
childhood,0
politician,1
lake,0
aircraft,1
self,1
metal,0
existence,1
appointment,0
initiative,1
plastic,0
assumption,1
extreme,1
passage,1
reputation,1
negotiation,1
mechanism,1
democracy,1
observation,1
meat,1
concentration,1
implication,0
king,1
interaction,0
soul,1
emergency,1
manufacturer,0
accommodation,1
reporter,0
climate,0
exception,0
corporation,1
winner,1
beauty,1
creation,0
illness,0
journalist,0
gene,1
criterion,0
criticism,1
convention,1
examination,0
revolution,0
protein,1
minority,0
origin,0
interpretation,1
gentleman,1
drama,1
minor,1
achievement,0
supplier,0
acquisition,0
recognition,1
assistance,0
retirement,0
variation,0
representation,0
preparation,0
agenda,1
emphasis,1
edition,1
entertainment,0
publication,0
framework,0
equivalent,0
governor,1
arrival,0
beer,1
specialist,0
mood,0
episode,0
symptom,1
era,0
prisoner,0
welfare,0
phenomenon,1
pupil,0
routine,0
hero,1
supporter,1
disaster,0
terrorist,0
vital,0
depression,1
distinction,1
satisfaction,0
obligation,0
pub,1
perception,1
currency,0
database,1
territory,0
height,1
expansion,1
boundary,0
ratio,1
pollution,1
symbol,1
apartment,1
demonstration,0
analyst,0
platform,1
restriction,0
foundation,1
designer,0
innovation,0
album,0
singer,1
extension,1
invitation,1
adviser,0
mode,0
poem,0
competitor,0
alcohol,1
festival,1
vegetable,1
van,0
confident,0
planet,0
depth,0
giant,0
god,0
substance,1
independence,0
inner,0
shadow,0
intervention,1
exam,0
vice,1
infection,0
jacket,0
efficiency,0
membership,0
quantity,0
dealer,1
shareholder,1
discovery,0
resistance,0
bath,0
frequency,0
philosophy,1
approval,0
involvement,1
exposure,1
digital,0
formation,1
establishment,1
summary,1
recovery,0
operator,0
infant,1
dependent,1
anxiety,0
virus,1
teenager,1
surgery,0
musician,0
significance,1
charity,1
universal,1
cigarette,0
consultant,0
historian,1
cousin,0
twin,1
custom,0
preference,1
incentive,0
league,1
margin,0
opponent,1
capability,1
absolute,1
barrier,0
tendency,0
survival,0
permission,0
valley,1
evolution,1
architecture,1
coal,0
measurement,0
illustration,0
buyer,1
laboratory,0
promotion,1
passion,0
province,1
evaluation,0
weakness,1
announcement,1
opera,0
gallery,1
chest,1
publisher,1
celebration,1
compensation,0
deficit,0
friendship,0
profession,0
equation,1
inflation,1
therapy,0
orange,0
imagination,1
throat,0
insight,1
expenditure,1
joy,0
poet,1
fortune,1
ceremony,1
mixture,0
scholar,0
creature,1
partnership,0
participation,1
clause,1
penalty,0
poetry,0
sake,1
possession,0
abortion,1
tale,0
maintenance,1
constraint,0
diversity,0
inquiry,0
limitation,1
indication,0
stability,0
carbon,1
cheese,0
destruction,1
guitar,0
piano,0
mystery,0
menu,1
airline,0
amendment,0
grandmother,1
jury,1
composition,1
maker,0
chocolate,1
potato,1
tissue,1
pro,1
stair,1
motivation,1
interior,1
championship,1
servant,0
immigrant,0
excess,0
complexity,0
liability,0
implementation,1
guideline,1
envelope,0
luxury,1
printer,0
attraction,0
ocean,1
veteran,1
reflection,0
determination,1
fiction,0
confusion,1
logic,1
grammar,1
liquid,1
uncle,0
rice,1
slope,0
vessel,0
verb,0
transportation,1
comedy,0
storage,1
universe,1
lover,1
portrait,0
innocent,0
adjustment,0
stranger,1
probability,1
uncertainty,1
refugee,0
excitement,1
pregnancy,1
experimental,0
empire,0
attendance,0
ownership,0
qualification,0
athlete,1
server,1
hypothesis,1
royal,1
mayor,1
aunt,0
tournament,1
registration,0
listener,1
tender,0
density,0
