lemma,animacy
it,1
year,1
way,0
day,1
thing,1
child,0
company,0
problem,0
lot,0
country,0
world,0
week,0
woman,0
family,0
system,0
money,0
fact,0
area,0
friend,0
month,1
business,0
government,0
yes,1
example,1
hour,0
student,0
idea,0
car,0
person,0
member,0
city,0
night,0
public,0
product,0
office,0
language,0
development,0
town,0
minute,0
food,0
future,0
period,0
history,0
moment,0
sale,0
policy,0
law,0
human,0
computer,0
situation,0
activity,0
morning,0
event,0
decision,0
girl,0
community,0
role,0
action,1
customer,1
door,0
teacher,0
relationship,0
death,0
boy,0
quality,0
opportunity,1
road,0
industry,0
education,0
security,0
standard,0
percent,0
data,1
performance,0
society,0
technology,0
material,0
effort,0
attention,0
animal,0
patient,0
century,0
leader,0
street,0
wife,1
response,0
president,0
employee,0
official,0
art,0
manager,0
worker,0
region,0
growth,0
evening,0
son,0
medium,0
management,0
character,0
economy,1
yesterday,0
addition,1
population,0
environment,0
production,0
player,0
success,0
tomorrow,1
director,0
department,0
tree,0
college,0
item,0
cent,0
method,0
analysis,0
election,0
hotel,1
movie,1
discussion,0
nation,0
statement,0
mile,1
ability,0
unit,0
hospital,0
agreement,0
solution,0
capital,0
television,0
degree,0
movement,0
loss,0
treatment,0
yourself,0
village,0
brother,0
investment,1
energy,0
relation,0
strategy,0
operation,0
goal,0
option,0
competition,0
theory,0
argument,0
adult,1
application,0
speech,1
science,0
male,0
restaurant,0
income,0
property,0
daughter,0
newspaper,0
conclusion,0
memory,0
song,0
afternoon,0
possibility,1
direction,1
facility,0
variety,1
female,0
responsibility,1
sister,0
university,0
agency,1
dollar,0
proposal,0
conversation,0
magazine,0
sea,1
communication,0
agent,0
generation,0
difficulty,0
majority,0
scene,0
writer,0
element,0
committee,0
advice,0
administration,0
text,0
context,0
equipment,1
executive,0
sex,0
primary,0
collection,0
relative,0
alternative,1
attitude,0
truth,0
nobody,0
user,0
dinner,0
percentage,0
peace,0
crime,0
decade,0
consumer,0
institution,0
reader,0
sector,0
chief,0
expert,0
library,0
audience,1
procedure,0
extent,0
river,1
reality,0
artist,0
presence,0
category,0
secretary,0
driver,0
introduction,0
requirement,0
photo,0
concept,0
football,0
flight,0
left,0
background,0
technique,0
improvement,0
consequence,0
circumstance,0
reaction,0
lesson,0
failure,0
speaker,0
mountain,0
marriage,1
meal,1
colleague,0
expression,0
owner,0
lady,0
duty,0
strength,0
payment,0
contribution,0
chapter,0
secret,1
novel,1
union,0
suggestion,1
path,1
topic,0
crisis,0
kitchen,0
safety,1
insurance,0
length,0
investigation,0
weapon,1
district,0
tradition,0
consideration,0
strange,0
threat,0
accident,0
revenue,0
cancer,1
volume,0
location,1
actor,0
opposite,0
camera,1
coffee,0
museum,1
visitor,0
freedom,0
construction,0
objective,0
vehicle,0
scientist,0
route,0
danger,0
army,0
council,0
editor,0
delivery,0
guest,0
bedroom,0
noise,0
affair,0
citizen,0
temperature,0
belief,0
troop,0
arrangement,0
prison,0
representative,0
capacity,1
assessment,0
ad,1
fee,0
hall,0
regulation,0
studio,1
tourist,0
component,1
lawyer,0
description,1
confidence,0
perspective,1
error,0
asset,1
leadership,0
commitment,0
literature,0
victim,0
division,0
device,0
factory,0
recommendation,0
resident,0
combination,0
principal,0
session,0
protection,0
shot,1
appearance,0
judgment,0
definition,0
farmer,0
comparison,0
identity,0
desk,1
association,0
investor,0
tea,0
youth,0
expectation,1
employment,0
breath,0
engine,0
notion,1
opposition,0
relief,0
debt,0
outcome,0
explanation,0
researcher,0
selection,0
participant,0
vision,0
personality,1
entry,0
fellow,0
chemical,0
chairman,0
yard,1
instruction,1
intelligence,0
ideal,0
folk,0
cat,1
presentation,0
faith,0
reduction,0
complaint,1
mission,0
passenger,0
justice,0
religion,1
employer,1
impression,0
sky,0
ancient,0
ill,0
multiple,1
legislation,0
county,0
mobile,0
assistant,0
hell,0
household,0
voter,0
absence,0
medicine,0
intention,0
dozen,0
settlement,0
estate,0
shut,0
victory,0
critic,0
emotion,0
enemy,1
priority,0
resolution,0
injury,0
exhibition,0
producer,0
incident,0
childhood,0
politician,0
lake,0
aircraft,0
self,0
metal,0
existence,0
appointment,0
initiative,0
plastic,0
assumption,0
extreme,0
passage,0
reputation,0
negotiation,0
mechanism,0
democracy,0
observation,1
meat,1
concentration,0
implication,0
king,0
interaction,0
soul,0
emergency,0
manufacturer,0
accommodation,0
reporter,0
climate,0
exception,0
corporation,1
winner,0
beauty,0
creation,0
illness,0
journalist,0
gene,0
criterion,0
criticism,1
convention,0
examination,0
revolution,0
protein,0
minority,0
origin,0
interpretation,0
gentleman,1
drama,0
minor,0
achievement,0
supplier,0
acquisition,0
recognition,1
assistance,0
retirement,0
variation,0
representation,0
preparation,0
agenda,0
emphasis,1
edition,0
entertainment,0
publication,0
framework,0
equivalent,0
governor,0
arrival,0
beer,0
specialist,1
mood,1
episode,0
symptom,0
era,0
prisoner,0
welfare,0
phenomenon,0
pupil,1
routine,0
hero,0
supporter,1
disaster,1
terrorist,0
vital,0
depression,0
distinction,0
satisfaction,0
obligation,0
pub,0
perception,0
currency,0
database,0
territory,0
height,0
expansion,0
boundary,0
ratio,0
pollution,0
symbol,0
apartment,0
demonstration,0
analyst,0
platform,0
restriction,1
foundation,0
designer,0
innovation,0
album,0
singer,0
extension,0
invitation,0
adviser,1
mode,0
poem,0
competitor,0
alcohol,0
festival,0
vegetable,0
van,0
confident,0
planet,0
depth,0
giant,0
god,0
substance,1
independence,0
inner,0
shadow,0
intervention,0
exam,0
vice,0
infection,0
jacket,1
efficiency,1
membership,0
quantity,0
dealer,0
shareholder,1
discovery,0
resistance,0
bath,0
frequency,0
philosophy,0
approval,0
involvement,0
exposure,0
digital,1
formation,0
establishment,0
summary,0
recovery,0
operator,0
infant,1
dependent,1
anxiety,0
virus,0
teenager,0
surgery,0
musician,1
significance,0
charity,0
universal,0
cigarette,1
consultant,0
historian,1
cousin,0
twin,0
custom,0
preference,1
incentive,0
league,0
margin,0
opponent,1
capability,0
absolute,0
barrier,0
tendency,0
survival,1
permission,0
valley,0
evolution,0
architecture,0
coal,0
measurement,0
illustration,0
buyer,0
laboratory,0
promotion,0
passion,0
province,1
evaluation,0
weakness,0
announcement,0
opera,0
gallery,0
chest,0
publisher,0
celebration,0
compensation,0
deficit,0
friendship,0
profession,0
equation,0
inflation,0
therapy,0
orange,0
imagination,0
throat,0
insight,1
expenditure,0
joy,0
poet,0
fortune,1
ceremony,0
mixture,1
scholar,0
creature,0
partnership,0
participation,0
clause,0
penalty,0
poetry,0
sake,0
possession,0
abortion,1
tale,0
maintenance,0
constraint,0
diversity,0
inquiry,0
limitation,0
indication,0
stability,0
carbon,0
cheese,0
destruction,0
guitar,0
piano,0
mystery,0
menu,0
airline,0
amendment,0
grandmother,0
jury,0
composition,0
maker,1
chocolate,1
potato,0
tissue,1
pro,1
stair,1
motivation,0
interior,0
championship,0
servant,0
immigrant,0
excess,0
complexity,0
liability,0
implementation,0
guideline,0
envelope,0
luxury,0
printer,0
attraction,0
ocean,0
veteran,0
reflection,1
determination,1
fiction,0
confusion,0
logic,0
grammar,0
liquid,0
uncle,0
rice,0
slope,1
vessel,1
verb,0
transportation,0
comedy,0
storage,0
universe,0
lover,1
portrait,1
innocent,0
adjustment,0
stranger,1
probability,0
uncertainty,0
refugee,0
excitement,0
pregnancy,0
experimental,0
empire,0
attendance,0
ownership,0
qualification,0
athlete,0
server,0
hypothesis,0
royal,0
mayor,0
aunt,0
tournament,1
registration,1
listener,0
tender,0
density,0
