lemma,norm
the,1.0722071
be,1.9151863
and,KeyError
of,KeyError
to,KeyError
a,KeyError
in,1.3277475
have,1.7940322
it,1.5298746
you,2.326465
he,1.7608283
for,1.3839004
they,1.7384781
not,1.7551429
that,1.2739753
we,2.175346
on,1.6026031
with,1.5593309
this,1.5892407
i,2.6311884
do,1.943668
as,1.5150839
at,1.6570668
she,2.1824157
but,1.371284
from,1.6675197
by,1.6679113
will,2.037382
or,1.6684263
say,2.1881914
go,2.0877254
so,1.5408734
all,1.515523
if,1.7844617
one,1.4393423
would,1.9038054
about,1.9603208
can,2.0474153
which,1.3584158
there,1.9482332
know,2.0677872
more,1.9582666
get,2.127669
who,1.5643777
like,1.8200657
when,1.5711377
think,2.160336
make,2.118893
time,1.6811486
see,2.0082989
what,1.9350075
up,2.0683002
some,1.7110276
other,1.6679583
out,1.9708976
good,2.2433436
people,2.108709
year,1.9503284
take,2.221655
no,2.279186
well,1.903243
because,1.7262027
very,2.2357965
just,1.5043488
come,1.9965974
could,1.9279853
work,1.916408
use,2.0868342
than,2.0632415
now,1.5339661
then,1.6081522
also,1.5760347
into,2.2357838
only,1.4535306
look,2.2329228
want,2.2811856
give,2.3090763
first,1.7881558
new,1.7550012
way,1.7573534
find,2.2396257
over,1.8053926
any,1.8840734
after,1.8438865
day,1.8923913
where,1.6424688
thing,2.437169
most,2.045783
should,1.9869114
need,2.1904294
much,2.0100658
right,1.9395462
how,2.2827904
back,1.9586282
mean,2.2259362
even,1.5203481
may,1.9492601
here,1.7962931
many,1.9250768
such,1.7034107
last,1.7708269
child,2.675776
tell,2.313523
really,2.1869106
call,2.456358
before,1.8961266
company,2.0618365
through,2.0399034
down,2.2929058
show,2.1282377
life,2.3064506
man,2.3106172
change,2.4417822
place,2.1245446
long,1.9855508
between,2.3565893
feel,2.497123
too,2.114455
still,1.7926481
problem,2.6445007
write,2.67034
same,1.986934
lot,2.5479186
great,2.3453953
try,2.1817508
leave,2.3572767
number,2.273353
both,1.6601632
own,1.8692533
part,1.7691698
point,2.129043
little,2.0526347
help,2.0042136
ask,2.303965
meet,2.5557137
start,2.123773
talk,2.3267763
something,2.0599933
put,2.1605997
another,1.6327882
become,2.3969212
interest,2.5428932
country,1.9889106
old,2.2150483
each,1.9831126
school,2.4646592
late,1.8934697
high,2.2449024
different,2.5259616
off,2.0843954
next,2.057513
end,2.0136461
live,2.4016135
why,2.2589474
while,1.5562451
world,2.2808154
week,2.0850523
play,2.3686943
might,1.8996372
must,2.350375
home,2.0269551
never,2.16962
include,2.7116723
course,2.077606
house,2.316849
report,2.4261436
group,1.9234413
case,2.1084442
woman,2.655624
around,2.01885
book,2.5140657
family,2.2817502
seem,2.306762
let,2.1843991
again,1.8597152
kind,1.9568294
keep,2.5699959
hear,2.6692789
system,2.3637867
every,2.3066332
question,2.631372
during,2.035436
always,2.0957406
big,2.2165327
set,2.0774035
small,2.1355996
study,2.6772134
follow,2.544765
begin,2.5369756
important,2.407611
since,2.0845988
run,2.018207
under,2.27946
turn,2.0953226
few,2.2252471
bring,2.2505689
early,1.9373302
hand,2.1561017
state,2.049974
move,2.1051066
money,2.4559731
fact,1.9852605
however,1.7080212
area,2.0621624
provide,2.3334222
name,2.5055482
read,2.4112043
friend,2.6043591
month,2.1532793
large,2.1730838
business,2.047382
without,2.212619
information,2.8166237
open,2.3735032
order,2.0709515
government,2.2094004
word,2.6990774
issue,2.4876418
market,2.5011826
pay,2.4459743
build,2.4659088
hold,2.2667518
service,2.2649953
against,2.3162374
believe,2.2250445
second,1.9761202
though,1.6554171
yes,2.1617322
love,2.6666324
increase,2.5890298
job,2.559656
plan,2.3404775
result,2.0694273
away,2.3359706
example,2.203619
happen,2.6247668
offer,2.4100678
young,2.1354854
close,2.1898444
program,2.227643
lead,2.517269
buy,2.5945466
understand,2.4668148
thank,3.7120385
far,2.2446384
today,1.6243944
hour,2.630609
student,2.7582371
face,2.3950791
hope,2.4560642
idea,2.3450818
cost,2.434258
less,2.163878
room,2.5026314
until,2.194804
reason,2.4561124
form,2.129578
spend,2.7851868
head,2.1953733
car,2.6472194
learn,2.6859832
level,2.2796297
person,2.2792275
experience,2.4734995
once,1.7416204
member,2.4983654
enough,2.198428
bad,2.5182755
city,2.3105447
night,2.1418064
able,2.3099823
support,2.2406251
whether,2.2629418
line,2.0197635
present,1.89147
side,2.1591086
quite,2.1019402
although,1.6018544
sure,2.2362993
term,2.5601575
least,2.0779855
age,2.6162252
low,2.4918697
speak,2.6431677
within,2.19305
process,2.4995008
public,2.174544
often,2.1721277
train,2.81005
possible,2.0477402
actually,1.6377689
rather,2.1879945
view,2.3905153
together,2.4619086
consider,2.3673418
price,2.8586335
parent,2.7509408
hard,2.4106958
party,2.507219
local,1.9350708
control,2.6160514
already,1.8442856
concern,2.8213172
product,2.3455532
lose,2.756877
story,2.643958
almost,1.8798652
continue,2.210676
stand,2.1267855
whole,2.1312797
yet,1.9472489
rate,2.8640583
care,2.5821164
expect,2.403856
effect,2.7466
sort,1.9148381
ever,2.164828
anything,2.3628254
cause,2.6446471
fall,2.2458904
deal,2.5308971
water,2.5919292
send,2.6934512
allow,2.1857815
soon,2.2701697
watch,2.535888
base,2.6252003
probably,1.7777368
suggest,2.424779
past,2.0356407
power,2.469555
test,2.664473
visit,2.9760823
center,2.3710825
grow,2.844967
nothing,2.3034313
return,2.3885026
mother,2.5667837
walk,2.682413
matter,2.2593274
mind,2.4489653
value,2.5195618
office,2.3368313
record,2.5329912
stay,2.5972662
force,2.2674854
stop,2.3499985
several,2.1444335
light,2.3640277
develop,2.3735566
remember,2.3083436
bit,2.4083881
share,2.4694946
real,2.0178156
answer,2.56211
sit,2.654446
figure,2.392918
letter,2.964616
decide,2.5954568
language,2.78225
subject,2.381777
class,2.3311524
development,2.3082678
town,2.3858097
half,2.0557766
minute,2.5718873
food,2.6704996
break,2.3778028
clear,2.2518141
future,2.3144197
either,1.6684886
ago,2.4663053
per,2.7014802
remain,2.649171
top,2.1713874
