the,DT,限定詞
be,VB,動詞 (原形)
and,CC,調整接続詞
of,IN,前置詞または従属接続詞
to,TO,前置詞to
a,DT,限定詞
in,IN,前置詞または従属接続詞
have,VB,動詞 (原形)
it,PRP,人称代名詞 (PP)
you,PRP,人称代名詞 (PP)
he,PRP,人称代名詞 (PP)
for,IN,前置詞または従属接続詞
they,PRP,人称代名詞 (PP)
not,RB,副詞
that,IN,前置詞または従属接続詞
we,PRP,人称代名詞 (PP)
on,IN,前置詞または従属接続詞
with,IN,前置詞または従属接続詞
this,DT,限定詞
i,NN,名詞
do,VB,動詞 (原形)
as,IN,前置詞または従属接続詞
at,IN,前置詞または従属接続詞
she,PRP,人称代名詞 (PP)
but,CC,調整接続詞
from,IN,前置詞または従属接続詞
by,IN,前置詞または従属接続詞
will,MD,法
or,CC,調整接続詞
say,VB,動詞 (原形)
go,VB,動詞 (原形)
so,RB,副詞
all,DT,限定詞
if,IN,前置詞または従属接続詞
one,CD,基数
would,MD,法
about,IN,前置詞または従属接続詞
can,MD,法
which,WDT,Wh 限定詞
there,RB,副詞
know,VB,動詞 (原形)
more,RBR,副詞 (比較級)
get,VB,動詞 (原形)
who,WP,wh 代名詞
like,IN,前置詞または従属接続詞
when,WRB,Wh 副詞
think,NN,名詞
make,VB,動詞 (原形)
time,NN,名詞
see,VB,動詞 (原形)
what,WP,wh 代名詞
up,RB,副詞
some,DT,限定詞
other,JJ,形容詞
out,IN,前置詞または従属接続詞
good,JJ,形容詞
people,NNS,名詞 (複数形)
year,NN,名詞
take,VB,動詞 (原形)
no,DT,限定詞
well,RB,副詞
because,IN,前置詞または従属接続詞
very,RB,副詞
just,RB,副詞
come,VB,動詞 (原形)
could,MD,法
work,NN,名詞
use,NN,名詞
than,IN,前置詞または従属接続詞
now,RB,副詞
then,RB,副詞
also,RB,副詞
into,IN,前置詞または従属接続詞
only,RB,副詞
look,NN,名詞
want,NN,名詞
give,VB,動詞 (原形)
first,RB,副詞
new,JJ,形容詞
way,NN,名詞
find,VB,動詞 (原形)
over,IN,前置詞または従属接続詞
any,DT,限定詞
after,IN,前置詞または従属接続詞
day,NN,名詞
where,WRB,Wh 副詞
thing,NN,名詞
most,JJS,形容詞 (最上級)
should,MD,法
need,NN,名詞
much,JJ,形容詞
right,NN,名詞
how,WRB,Wh 副詞
back,RB,副詞
mean,NN,名詞
even,RB,副詞
may,MD,法
here,RB,副詞
many,JJ,形容詞
such,JJ,形容詞
last,JJ,形容詞
child,NN,名詞
tell,NN,名詞
really,RB,副詞
call,NN,名詞
before,IN,前置詞または従属接続詞
company,NN,名詞
through,IN,前置詞または従属接続詞
down,RB,副詞
show,NN,名詞
