nouns, animacy
year,0
way,0
day,0
thing,0
child,1
company,0
problem,0
lot,0
country,0
world,0
week,0
woman,1
system,0
money,0
fact,0
area,0
friend,1
month,0
business,0
government,0
example,0
hour,0
student,1
idea,0
car,0
person,1
city,0
night,0
product,0
office,0
language,0
development,0
town,0
minute,0
food,0
future,0
period,0
history,0
moment,0
sale,0
policy,0
law,0
human,1
computer,0
situation,0
activity,0
morning,0
event,0
decision,0
girl,1
community,0
role,0
action,0
customer,1
door,0
teacher,1
relationship,0
death,0
boy,1
quality,0
opportunity,0
road,0
industry,0
education,0
security,0
standard,0
percent,0
data,0
performance,0
society,0
technology,0
material,0
effort,0
attention,0
animal,1
century,0
street,0
wife,1
response,0
president,1
employee,1
art,0
manager,1
worker,1
region,0
growth,0
evening,0
son,1
medium,0
management,0
economy,0
yesterday,0
addition,0
population,0
environment,0
production,0
player,1
success,0
tomorrow,0
director,1
